Community_Name,Country,Crop_Type,Farm_Size,Tech_Adoption_Index,Drone_Usage,Mobile_Tech,Annual_Yield,Fertilizer_Type,Irrigation,Weather_Station,Annual_Rainfall
Harvest Cultivators Club,South Africa,Rice,98.41,17,No,None,172.34,None,Sprinkler,No,766.7
Prairie Growers Coalition,Tanzania,Wheat,84.88,83,Yes,None,312.87,Organic,Drip,No,1108.2
Valley Agricultural Association,Ghana,Rice,3.6,22,Yes,None,244.07,Organic,Drip,No,550.72
Harvest Agri Society,Tanzania,Wheat,94.83,68,Yes,None,916.6,None,Drip,Yes,854.93
Mountain Farmers Group,Tanzania,Barley,72.39,64,Yes,Mobile Apps,262.41,Organic,None,No,1169.35
River Cultivators Club,Tanzania,Rice,9.16,45,No,SMS,136.39,None,Drip,No,909.69
Prairie Agri Society,Nigeria,Maize,67.39,65,Yes,SMS,628.86,None,None,No,751.97
Meadow Agricultural Association,South Africa,Rice,65.05,79,Yes,Mobile Apps,411.56,Inorganic,Drip,Yes,973.1
River Agri Society,Ghana,Rice,22.66,68,Yes,Mobile Apps,465.14,Inorganic,None,Yes,1059.66
River Farmers Union,Kenya,Wheat,76.09,21,Yes,None,207.16,Organic,Drip,No,872.41
Savannah Growers Coalition,Ghana,Barley,9.62,64,No,Mobile Apps,773.41,None,None,No,1097.47
Meadow Growers Coalition,Ghana,Wheat,49.46,11,No,SMS,641.4,None,None,No,811.67
Meadow Agri Society,Nigeria,Wheat,1.98,18,No,Mobile Apps,427.8,None,None,No,1064.02
Harvest Growers Coalition,Nigeria,Barley,96.91,21,No,Mobile Apps,254.42,None,Drip,Yes,1161.62
Harvest Growers Coalition,Tanzania,Wheat,75.4,54,Yes,SMS,634.11,Inorganic,Sprinkler,No,800.99
Prairie Farmers Union,Ghana,Barley,16.73,61,No,SMS,800.74,Organic,None,No,884.0
River Agricultural Association,South Africa,Maize,34.83,50,Yes,Mobile Apps,381.16,Inorganic,None,No,887.57
Meadow Growers Coalition,Nigeria,Barley,16.9,47,Yes,None,123.27,None,None,Yes,1025.15
Sunrise Cultivators Club,Nigeria,Sorghum,76.9,16,Yes,None,292.91,Organic,None,Yes,1058.37
Sunrise Farmers Union,South Africa,Barley,6.83,12,Yes,None,714.16,Organic,None,Yes,421.78
Savannah Agricultural Association,Nigeria,Barley,84.2,27,No,SMS,990.19,None,Sprinkler,Yes,986.69
Golden Farmers Group,South Africa,Sorghum,94.28,66,No,SMS,112.04,None,Drip,Yes,1027.05
Sunrise Cultivators Club,Kenya,Barley,67.99,4,Yes,None,375.54,Inorganic,Sprinkler,No,960.34
Green Farmers Group,South Africa,Rice,22.08,99,No,Mobile Apps,155.82,Inorganic,Drip,Yes,970.96
Sunrise Cultivators Club,Kenya,Wheat,36.65,59,No,Mobile Apps,384.71,None,Sprinkler,No,433.12
River Growers Coalition,Tanzania,Wheat,48.25,14,Yes,Mobile Apps,465.32,None,Drip,No,753.63
Meadow Cultivators Club,Tanzania,Maize,60.86,80,Yes,SMS,928.78,Inorganic,None,No,1054.54
Meadow Growers Coalition,Nigeria,Maize,67.2,43,No,SMS,172.5,Organic,Drip,Yes,1147.21
Sunrise Agri Society,South Africa,Sorghum,55.87,45,Yes,None,799.42,Organic,Drip,Yes,583.57
Prairie Agri Society,Nigeria,Rice,35.78,28,No,Mobile Apps,455.98,Organic,None,Yes,863.36
Prairie Farmers Union,South Africa,Maize,89.2,67,Yes,SMS,830.14,Inorganic,None,No,1043.46
Valley Farmers Union,Nigeria,Wheat,9.06,95,Yes,SMS,562.06,None,Drip,No,1001.93
Prairie Growers Coalition,Tanzania,Maize,47.16,48,Yes,None,135.35,Organic,Drip,Yes,895.11
Golden Agri Society,Tanzania,Maize,77.78,42,Yes,Mobile Apps,951.59,None,None,Yes,414.95
Golden Farmers Group,Nigeria,Barley,7.03,67,No,SMS,174.46,Inorganic,Sprinkler,Yes,979.11
Golden Growers Coalition,South Africa,Maize,70.83,76,No,SMS,637.92,Inorganic,None,No,1018.59
River Growers Coalition,Ghana,Sorghum,82.15,19,No,SMS,889.9,None,Drip,No,978.28
Sunrise Farmers Union,South Africa,Wheat,66.42,17,No,SMS,171.79,None,Drip,Yes,1012.65
Golden Growers Coalition,Nigeria,Sorghum,2.28,63,Yes,Mobile Apps,598.5,None,Drip,No,744.73
Mountain Growers Coalition,South Africa,Sorghum,18.83,48,Yes,None,841.86,None,None,No,1195.0
Sunrise Farmers Union,Kenya,Rice,34.87,41,No,Mobile Apps,987.69,Organic,None,Yes,1016.63
Green Farmers Group,South Africa,Barley,24.14,100,No,None,751.89,None,Sprinkler,No,862.94
Valley Farmers Union,Tanzania,Sorghum,96.3,11,No,SMS,350.5,Organic,Drip,No,1147.35
Harvest Farmers Union,Tanzania,Rice,65.51,88,No,Mobile Apps,729.61,Inorganic,Drip,No,1126.56
Savannah Farmers Group,Kenya,Wheat,30.4,93,No,None,735.19,Organic,None,Yes,1051.65
Prairie Agricultural Association,South Africa,Wheat,93.04,78,Yes,None,729.97,None,Drip,No,850.96
Harvest Agricultural Association,Ghana,Rice,74.32,35,No,SMS,868.83,Organic,Sprinkler,No,821.68
Golden Farmers Group,South Africa,Sorghum,29.18,7,No,None,178.64,Inorganic,None,Yes,662.97
Harvest Farmers Union,Tanzania,Sorghum,38.51,27,Yes,None,197.58,None,Drip,Yes,600.7
Green Agricultural Association,Tanzania,Barley,20.74,85,Yes,None,676.56,Inorganic,None,No,809.89
River Farmers Group,Nigeria,Barley,97.14,59,No,SMS,958.49,Inorganic,None,No,862.23
Savannah Farmers Group,Tanzania,Wheat,52.21,48,No,Mobile Apps,519.25,None,Sprinkler,No,595.62
Harvest Agricultural Association,Nigeria,Barley,89.71,37,No,SMS,964.51,Organic,None,Yes,1138.08
Sunrise Agricultural Association,Tanzania,Rice,35.3,79,Yes,None,944.28,Inorganic,Drip,Yes,845.82
Green Farmers Union,Tanzania,Wheat,86.22,57,No,None,912.62,None,Sprinkler,No,821.2
Prairie Farmers Group,Ghana,Sorghum,6.33,4,No,Mobile Apps,918.87,Inorganic,None,Yes,748.51
Sunrise Farmers Union,Nigeria,Wheat,98.23,45,Yes,None,908.49,Organic,Drip,Yes,446.46
Harvest Growers Coalition,Nigeria,Maize,91.29,97,Yes,Mobile Apps,837.9,Inorganic,None,Yes,1105.92
Green Growers Coalition,Tanzania,Wheat,36.96,74,Yes,None,725.48,Inorganic,None,Yes,653.6
Valley Cultivators Club,Nigeria,Barley,77.7,1,Yes,None,121.97,Inorganic,Sprinkler,Yes,913.97
Savannah Agri Society,Tanzania,Rice,75.47,88,No,SMS,219.03,Inorganic,Sprinkler,Yes,885.95
Golden Growers Coalition,Tanzania,Sorghum,90.22,24,Yes,SMS,220.81,Organic,Sprinkler,No,867.59
Green Agri Society,South Africa,Sorghum,31.42,0,Yes,Mobile Apps,121.19,None,Sprinkler,No,820.57
Harvest Growers Coalition,Nigeria,Barley,47.09,94,Yes,SMS,205.03,Inorganic,Drip,No,545.15
River Cultivators Club,Kenya,Barley,86.63,68,No,Mobile Apps,927.77,Organic,None,Yes,624.48
Golden Farmers Group,Nigeria,Barley,78.08,39,Yes,SMS,697.42,Inorganic,Sprinkler,No,819.35
Mountain Agri Society,Nigeria,Maize,39.95,67,No,Mobile Apps,380.87,Inorganic,Drip,No,1031.47
Savannah Farmers Union,Ghana,Rice,84.73,68,Yes,None,814.02,Inorganic,Sprinkler,Yes,745.59
Golden Cultivators Club,Kenya,Maize,5.65,68,No,Mobile Apps,539.53,Organic,None,No,563.14
River Farmers Group,Kenya,Barley,78.42,15,No,SMS,227.91,Inorganic,Sprinkler,No,470.36
Meadow Cultivators Club,Ghana,Rice,21.47,53,No,Mobile Apps,896.05,Inorganic,None,No,930.41
Green Farmers Union,Ghana,Barley,29.33,62,Yes,SMS,404.8,None,None,No,738.67
Savannah Cultivators Club,Nigeria,Rice,49.83,17,No,None,728.97,Organic,Drip,Yes,500.3
River Cultivators Club,South Africa,Sorghum,45.52,16,Yes,SMS,361.53,None,Sprinkler,No,939.57
Golden Agricultural Association,Ghana,Maize,52.54,98,Yes,None,550.06,None,Sprinkler,Yes,566.06
Savannah Farmers Union,Kenya,Barley,54.93,81,No,None,834.63,None,None,Yes,807.21
Green Agricultural Association,Kenya,Barley,33.82,3,Yes,SMS,241.1,None,Sprinkler,No,644.95
Valley Farmers Union,Nigeria,Wheat,18.35,94,No,None,979.53,Inorganic,None,Yes,1145.35
Meadow Growers Coalition,South Africa,Sorghum,77.08,94,Yes,SMS,163.19,None,Drip,Yes,582.63
Savannah Growers Coalition,Tanzania,Barley,40.6,8,No,Mobile Apps,580.61,Organic,Sprinkler,Yes,735.93
Harvest Agri Society,Ghana,Maize,51.08,30,Yes,None,924.42,Inorganic,None,Yes,1167.59
River Cultivators Club,Ghana,Sorghum,64.82,4,No,Mobile Apps,951.12,None,Sprinkler,No,654.98
Harvest Farmers Group,Nigeria,Barley,91.05,99,Yes,Mobile Apps,308.9,None,Sprinkler,No,915.67
Green Agri Society,South Africa,Maize,71.05,15,Yes,SMS,229.59,Organic,Drip,Yes,653.38
Sunrise Growers Coalition,Kenya,Wheat,5.5,41,No,SMS,751.96,Organic,None,Yes,488.54
Prairie Farmers Group,Kenya,Wheat,84.02,40,Yes,None,137.78,None,Drip,Yes,902.04
Valley Agricultural Association,Tanzania,Maize,98.95,79,Yes,SMS,536.72,None,Drip,Yes,1132.83
Green Growers Coalition,Kenya,Sorghum,47.78,83,No,Mobile Apps,816.72,None,Drip,No,762.05
Prairie Agri Society,Ghana,Maize,96.99,29,No,Mobile Apps,604.23,None,None,Yes,900.94
Meadow Agricultural Association,Tanzania,Maize,55.19,25,No,Mobile Apps,269.21,None,None,No,887.12
Prairie Farmers Union,South Africa,Wheat,46.5,48,No,None,538.34,Organic,Sprinkler,Yes,732.07
Golden Cultivators Club,Tanzania,Wheat,33.81,30,No,SMS,929.15,Organic,None,Yes,891.92
Meadow Farmers Group,South Africa,Wheat,66.1,49,Yes,Mobile Apps,655.49,Inorganic,Drip,Yes,607.45
Golden Growers Coalition,Kenya,Barley,23.75,14,No,None,749.34,Inorganic,None,No,702.43
Green Farmers Group,Nigeria,Barley,11.39,51,Yes,SMS,402.64,Organic,Sprinkler,No,753.86
Golden Growers Coalition,Tanzania,Rice,3.7,37,Yes,SMS,269.64,Inorganic,Drip,No,1091.21
Sunrise Agri Society,Tanzania,Barley,29.95,37,Yes,Mobile Apps,330.08,None,Sprinkler,Yes,678.67
River Agri Society,Ghana,Sorghum,40.18,59,Yes,None,579.86,Inorganic,None,No,908.11
Green Farmers Group,Ghana,Sorghum,55.66,19,Yes,Mobile Apps,352.2,None,Sprinkler,Yes,570.72
Savannah Agricultural Association,South Africa,Wheat,29.98,98,No,Mobile Apps,587.77,None,Sprinkler,Yes,602.06
River Growers Coalition,Nigeria,Maize,98.42,86,No,None,737.01,Inorganic,None,No,918.74
Green Agricultural Association,Ghana,Wheat,29.88,43,No,Mobile Apps,760.96,Inorganic,Sprinkler,Yes,1009.85
River Agri Society,Ghana,Maize,44.66,88,No,None,248.22,None,None,No,769.69
Prairie Cultivators Club,Kenya,Wheat,11.22,62,No,None,775.39,Organic,Drip,Yes,668.08
Sunrise Cultivators Club,Kenya,Wheat,26.8,49,No,Mobile Apps,705.42,Inorganic,Sprinkler,Yes,1128.22
Green Farmers Union,Ghana,Sorghum,5.78,21,Yes,Mobile Apps,110.8,Inorganic,Drip,Yes,508.65
Golden Agricultural Association,South Africa,Maize,56.39,71,No,SMS,152.98,Organic,None,Yes,976.57
Green Farmers Group,Nigeria,Rice,75.36,53,No,SMS,681.62,Inorganic,None,Yes,952.14
Green Agri Society,Ghana,Rice,20.38,8,No,None,445.33,None,Sprinkler,No,952.2
Savannah Farmers Group,South Africa,Wheat,37.42,14,No,None,231.49,Organic,Sprinkler,Yes,1148.34
Prairie Farmers Group,South Africa,Wheat,2.65,47,No,None,139.96,Organic,None,Yes,982.55
Mountain Growers Coalition,Ghana,Sorghum,84.11,19,Yes,SMS,243.46,None,None,No,641.25
Savannah Farmers Union,South Africa,Maize,78.22,34,Yes,Mobile Apps,961.76,None,Drip,No,682.73
Sunrise Farmers Group,Tanzania,Wheat,7.26,100,Yes,Mobile Apps,754.81,None,Drip,Yes,712.89
Golden Agricultural Association,South Africa,Rice,37.12,66,No,SMS,574.93,Organic,Sprinkler,No,424.65
Harvest Cultivators Club,Ghana,Maize,95.57,59,No,Mobile Apps,947.39,None,Sprinkler,Yes,1130.81
Golden Farmers Union,South Africa,Wheat,39.81,97,No,Mobile Apps,657.2,Inorganic,Sprinkler,No,458.84
Sunrise Agri Society,Ghana,Maize,53.09,33,Yes,Mobile Apps,753.08,Inorganic,Sprinkler,No,959.84
Prairie Agri Society,Kenya,Sorghum,36.17,99,Yes,SMS,354.39,None,Sprinkler,Yes,984.13
Meadow Farmers Group,Ghana,Rice,60.02,98,No,None,630.08,Inorganic,Sprinkler,No,1074.97
Golden Farmers Group,South Africa,Maize,97.84,72,No,Mobile Apps,229.13,Inorganic,Sprinkler,Yes,842.69
Meadow Agri Society,Ghana,Rice,99.75,93,Yes,Mobile Apps,464.03,Organic,Sprinkler,Yes,980.21
River Cultivators Club,Nigeria,Wheat,77.7,53,Yes,None,129.92,None,Drip,Yes,642.18
Green Growers Coalition,Ghana,Barley,41.03,89,Yes,Mobile Apps,294.97,Inorganic,None,No,996.47
Green Growers Coalition,Ghana,Maize,49.95,11,No,Mobile Apps,167.38,None,None,Yes,674.73
Meadow Growers Coalition,Nigeria,Rice,36.32,87,Yes,None,449.0,None,Sprinkler,No,1122.27
Valley Farmers Group,Nigeria,Maize,98.57,18,No,SMS,858.73,Inorganic,None,Yes,530.71
Mountain Growers Coalition,Nigeria,Wheat,71.07,79,No,SMS,440.14,Inorganic,Sprinkler,No,652.61
Meadow Growers Coalition,Tanzania,Wheat,45.44,25,No,Mobile Apps,848.48,Organic,Drip,No,799.02
Valley Agricultural Association,Ghana,Rice,2.2,22,Yes,Mobile Apps,690.85,Organic,Sprinkler,No,1020.68
Mountain Farmers Group,Nigeria,Sorghum,52.53,32,Yes,None,558.58,Organic,Drip,No,999.04
Prairie Farmers Group,Nigeria,Maize,98.41,56,Yes,None,313.2,Inorganic,Drip,Yes,568.57
Harvest Agri Society,Kenya,Maize,52.78,29,Yes,Mobile Apps,929.94,Organic,Drip,Yes,515.39
Valley Farmers Group,Tanzania,Wheat,19.06,22,No,Mobile Apps,148.78,None,Sprinkler,Yes,643.18
Mountain Agri Society,Ghana,Maize,3.19,73,No,SMS,720.02,Organic,Drip,Yes,787.0
Valley Agricultural Association,South Africa,Rice,36.12,35,No,SMS,659.12,Organic,Sprinkler,No,831.2
Savannah Agri Society,Tanzania,Barley,91.9,94,No,SMS,496.94,Organic,Drip,Yes,743.31
Savannah Farmers Union,Tanzania,Wheat,99.66,85,Yes,SMS,316.29,None,Drip,No,930.47
Harvest Cultivators Club,Kenya,Barley,94.59,42,No,None,487.63,None,None,No,742.05
Savannah Growers Coalition,Ghana,Maize,73.21,65,Yes,SMS,885.5,Inorganic,Sprinkler,Yes,1157.06
Savannah Cultivators Club,Ghana,Sorghum,56.26,52,No,SMS,853.09,Organic,None,Yes,608.78
Harvest Growers Coalition,Nigeria,Rice,59.48,86,Yes,Mobile Apps,947.24,None,Drip,Yes,901.9
Green Agricultural Association,Nigeria,Maize,54.36,98,No,SMS,377.01,None,None,Yes,889.1
Valley Growers Coalition,Tanzania,Rice,71.0,59,No,Mobile Apps,448.39,None,Drip,Yes,625.26
Prairie Growers Coalition,Kenya,Maize,42.47,36,Yes,Mobile Apps,116.85,Inorganic,None,No,729.35
Harvest Agri Society,Ghana,Maize,67.25,60,No,SMS,948.65,Inorganic,None,Yes,692.38
Golden Farmers Group,Kenya,Maize,13.04,95,Yes,SMS,396.45,Inorganic,Sprinkler,Yes,538.0
Savannah Agri Society,South Africa,Wheat,27.3,52,No,Mobile Apps,463.75,Organic,Sprinkler,Yes,781.84
Green Agri Society,Ghana,Barley,83.76,11,Yes,None,917.02,None,None,No,709.33
Golden Farmers Group,Nigeria,Sorghum,90.47,34,Yes,Mobile Apps,573.94,Inorganic,None,Yes,542.65
Prairie Growers Coalition,Tanzania,Barley,54.36,66,Yes,None,609.56,Inorganic,Sprinkler,No,759.9
Golden Farmers Group,Kenya,Barley,4.13,97,Yes,None,258.61,None,Drip,No,737.48
Valley Agricultural Association,Nigeria,Rice,92.77,37,No,SMS,548.79,None,Drip,No,505.09
Mountain Farmers Union,Tanzania,Wheat,70.5,23,Yes,SMS,926.39,Organic,Drip,Yes,504.95
Sunrise Agricultural Association,Nigeria,Wheat,41.99,80,Yes,SMS,602.85,Organic,Drip,No,918.01
Prairie Agri Society,Ghana,Maize,60.24,39,Yes,SMS,329.6,Organic,None,No,965.26
Savannah Farmers Union,Kenya,Barley,43.55,64,Yes,Mobile Apps,128.06,Inorganic,Drip,No,1152.94
River Farmers Union,South Africa,Sorghum,47.07,56,No,None,402.67,Inorganic,None,Yes,469.6
Savannah Cultivators Club,Nigeria,Rice,88.79,71,Yes,Mobile Apps,615.33,None,None,No,494.29
Prairie Agri Society,Kenya,Wheat,16.95,78,No,None,138.35,Organic,Drip,Yes,441.45
River Growers Coalition,Ghana,Maize,11.26,44,No,Mobile Apps,648.81,None,Drip,No,825.78
Meadow Growers Coalition,Nigeria,Sorghum,1.27,88,Yes,None,571.07,Organic,Drip,No,898.2
Harvest Farmers Union,Ghana,Barley,32.09,71,Yes,SMS,805.09,Organic,Sprinkler,Yes,722.82
Harvest Agricultural Association,South Africa,Sorghum,15.59,95,Yes,None,126.0,Organic,None,No,1038.32
Sunrise Cultivators Club,South Africa,Wheat,22.78,12,Yes,SMS,802.76,Organic,Drip,No,949.36
Golden Farmers Union,Tanzania,Rice,2.11,78,No,None,568.79,None,Sprinkler,No,1188.67
Meadow Agricultural Association,Tanzania,Barley,23.49,5,No,Mobile Apps,433.48,None,None,Yes,510.32
Harvest Farmers Union,Tanzania,Rice,33.94,96,Yes,None,968.84,Inorganic,None,Yes,446.65
Prairie Agri Society,Ghana,Sorghum,4.13,70,Yes,Mobile Apps,244.11,Organic,None,Yes,619.84
Sunrise Agri Society,Tanzania,Sorghum,61.18,96,No,Mobile Apps,587.19,None,Drip,No,415.24
Sunrise Agri Society,Kenya,Maize,57.31,46,No,SMS,388.88,Organic,Drip,No,1146.09
Golden Agri Society,Ghana,Barley,10.61,92,Yes,None,574.74,Organic,None,No,643.16
Harvest Farmers Union,Ghana,Sorghum,59.91,100,Yes,Mobile Apps,597.05,Inorganic,None,Yes,841.94
Sunrise Growers Coalition,Tanzania,Wheat,99.87,43,Yes,None,180.5,Inorganic,Sprinkler,Yes,654.46
Meadow Growers Coalition,Tanzania,Wheat,94.5,31,Yes,SMS,695.02,None,Sprinkler,Yes,596.65
Meadow Growers Coalition,Ghana,Rice,1.26,2,Yes,SMS,671.03,None,None,No,521.89
Mountain Growers Coalition,South Africa,Wheat,79.74,53,Yes,None,792.52,Inorganic,Sprinkler,Yes,656.29
Savannah Farmers Union,South Africa,Sorghum,36.01,83,No,Mobile Apps,181.59,None,None,Yes,892.34
Prairie Agri Society,Tanzania,Wheat,7.3,77,No,Mobile Apps,367.53,None,Sprinkler,No,1177.3
Sunrise Agricultural Association,South Africa,Barley,30.3,91,No,Mobile Apps,685.1,Inorganic,None,Yes,846.47
Savannah Farmers Union,Kenya,Rice,32.85,37,No,None,223.06,Organic,Drip,No,826.17
Sunrise Farmers Union,Kenya,Barley,52.8,3,Yes,Mobile Apps,709.84,Organic,None,No,428.21
Green Growers Coalition,Kenya,Sorghum,66.45,78,Yes,Mobile Apps,153.12,Inorganic,Drip,Yes,1072.08
Valley Growers Coalition,Ghana,Sorghum,75.16,16,No,Mobile Apps,401.44,Organic,None,Yes,435.87
Green Agri Society,Ghana,Wheat,25.34,36,Yes,SMS,862.04,Organic,Drip,No,1124.99
Golden Cultivators Club,Ghana,Maize,32.86,87,Yes,Mobile Apps,796.86,Inorganic,Sprinkler,Yes,830.94
Valley Growers Coalition,Ghana,Maize,31.53,35,Yes,None,680.28,None,Drip,No,534.77
Savannah Agricultural Association,Ghana,Sorghum,36.91,57,No,None,883.41,Inorganic,Sprinkler,Yes,761.37
Mountain Growers Coalition,Tanzania,Sorghum,99.97,40,No,Mobile Apps,738.34,Inorganic,None,Yes,1195.99
River Farmers Group,South Africa,Rice,78.02,7,No,None,567.44,Organic,Sprinkler,No,644.07
Harvest Growers Coalition,Tanzania,Sorghum,97.52,66,No,None,981.75,Inorganic,Sprinkler,No,615.57
Sunrise Farmers Group,South Africa,Sorghum,69.62,29,No,Mobile Apps,725.37,Organic,Sprinkler,Yes,494.4
Meadow Farmers Group,Tanzania,Rice,41.22,85,No,SMS,641.23,Inorganic,None,Yes,877.71
Savannah Farmers Group,Kenya,Barley,39.58,51,No,Mobile Apps,467.98,None,Drip,No,471.38
Harvest Agricultural Association,Nigeria,Barley,49.37,96,Yes,None,912.17,Organic,Sprinkler,Yes,1012.81
Prairie Cultivators Club,Ghana,Rice,42.27,24,No,None,366.14,Inorganic,None,Yes,1135.38
Prairie Farmers Union,Nigeria,Rice,83.0,51,Yes,Mobile Apps,108.3,Organic,Sprinkler,Yes,1145.5
Mountain Farmers Group,Nigeria,Barley,47.04,58,Yes,None,277.07,Inorganic,Drip,No,486.33
Valley Cultivators Club,Kenya,Barley,30.27,29,No,SMS,198.57,Inorganic,Sprinkler,Yes,846.61
Golden Growers Coalition,Nigeria,Barley,77.71,100,Yes,Mobile Apps,387.09,Inorganic,Sprinkler,Yes,477.69
Sunrise Farmers Union,Nigeria,Barley,85.59,66,Yes,None,843.29,Organic,Sprinkler,Yes,857.61
Meadow Farmers Group,Kenya,Wheat,42.62,3,No,SMS,686.38,Organic,Drip,No,1051.98
Mountain Growers Coalition,South Africa,Rice,67.11,92,Yes,None,252.08,None,Drip,No,830.23
Mountain Cultivators Club,Tanzania,Maize,6.82,56,No,SMS,809.94,None,None,Yes,1097.64
Meadow Growers Coalition,Nigeria,Wheat,53.42,62,Yes,None,553.8,None,Sprinkler,No,1041.34
Prairie Growers Coalition,Ghana,Maize,5.45,31,Yes,Mobile Apps,561.44,None,Sprinkler,No,621.24
Prairie Agri Society,Kenya,Maize,3.89,86,Yes,None,425.9,Inorganic,Sprinkler,Yes,904.08
Mountain Farmers Group,Nigeria,Sorghum,61.68,82,Yes,Mobile Apps,878.15,Organic,Sprinkler,Yes,405.93
Mountain Farmers Group,South Africa,Rice,31.03,78,No,SMS,386.49,Inorganic,Drip,No,716.83
Golden Growers Coalition,South Africa,Wheat,74.51,50,No,SMS,184.73,Organic,Drip,Yes,590.37
Savannah Agri Society,Ghana,Rice,89.71,62,No,None,372.46,Organic,Sprinkler,Yes,1149.69
Green Cultivators Club,Nigeria,Barley,14.8,79,Yes,Mobile Apps,743.82,Inorganic,Sprinkler,Yes,724.31
River Cultivators Club,Ghana,Rice,72.73,86,Yes,Mobile Apps,691.82,Inorganic,Sprinkler,Yes,923.25
Savannah Cultivators Club,South Africa,Maize,51.94,100,Yes,SMS,269.22,Organic,Sprinkler,No,985.59
Mountain Agri Society,South Africa,Barley,12.1,0,Yes,SMS,200.61,None,None,No,1018.57
Prairie Cultivators Club,Tanzania,Rice,65.51,18,No,None,694.78,None,None,Yes,988.62
River Agri Society,South Africa,Rice,61.34,100,Yes,SMS,708.74,Organic,Sprinkler,Yes,631.33
Golden Growers Coalition,Kenya,Maize,52.05,34,No,SMS,429.53,Inorganic,Sprinkler,No,948.85
Prairie Farmers Group,Tanzania,Barley,92.72,62,Yes,Mobile Apps,858.52,Inorganic,Sprinkler,Yes,839.21
Meadow Growers Coalition,Ghana,Maize,52.59,93,Yes,Mobile Apps,980.38,Organic,None,Yes,877.9
Mountain Farmers Group,South Africa,Rice,99.06,80,No,Mobile Apps,285.08,Inorganic,Drip,Yes,400.65
Savannah Agricultural Association,Kenya,Wheat,51.41,25,No,SMS,619.36,Organic,None,No,606.61
Mountain Farmers Group,Tanzania,Wheat,12.47,12,No,None,104.81,Organic,None,Yes,1144.55
Sunrise Farmers Group,Kenya,Sorghum,47.58,85,No,None,741.75,Organic,Sprinkler,Yes,632.06
Prairie Agricultural Association,Tanzania,Wheat,19.05,22,Yes,SMS,472.85,Inorganic,Sprinkler,Yes,750.41
River Agri Society,Tanzania,Barley,60.12,96,No,None,273.94,None,Drip,Yes,549.34
Green Growers Coalition,Tanzania,Sorghum,69.62,90,No,SMS,777.0,Organic,Sprinkler,Yes,510.88
Sunrise Agricultural Association,Ghana,Barley,47.38,34,Yes,None,829.58,Inorganic,Sprinkler,No,566.94
Mountain Cultivators Club,Tanzania,Wheat,10.67,11,Yes,SMS,200.05,None,Drip,Yes,842.92
River Growers Coalition,Tanzania,Wheat,47.4,8,Yes,Mobile Apps,136.9,Organic,Sprinkler,No,1135.22
Golden Farmers Group,Kenya,Rice,9.06,97,Yes,None,400.67,None,Sprinkler,No,660.96
Prairie Agri Society,Tanzania,Barley,68.53,77,No,Mobile Apps,663.39,Inorganic,Sprinkler,Yes,658.73
Valley Agri Society,Ghana,Maize,79.25,100,No,Mobile Apps,814.08,None,None,Yes,851.31
Golden Growers Coalition,Kenya,Rice,96.28,66,Yes,None,591.46,None,Sprinkler,Yes,685.39
River Agri Society,Tanzania,Barley,15.73,43,No,SMS,622.67,Inorganic,None,Yes,1128.33
Prairie Cultivators Club,Kenya,Sorghum,53.71,60,No,Mobile Apps,819.87,Organic,Sprinkler,Yes,702.28
Meadow Growers Coalition,Ghana,Barley,57.19,20,Yes,Mobile Apps,575.96,Inorganic,Sprinkler,Yes,792.35
Golden Agricultural Association,Kenya,Sorghum,92.33,6,No,SMS,650.04,Inorganic,None,Yes,826.71
Prairie Cultivators Club,Ghana,Sorghum,63.1,96,No,SMS,564.6,Organic,None,Yes,1025.65
Valley Agri Society,South Africa,Wheat,15.41,98,Yes,None,892.41,Organic,Sprinkler,Yes,851.12
Harvest Farmers Union,Tanzania,Maize,44.2,10,No,None,311.96,Inorganic,Drip,Yes,591.32
Mountain Agricultural Association,Ghana,Barley,65.82,44,No,SMS,337.59,Organic,Sprinkler,No,499.19
Valley Farmers Union,Tanzania,Maize,70.33,31,Yes,Mobile Apps,215.17,Organic,None,Yes,1150.22
Mountain Farmers Union,Ghana,Sorghum,86.44,85,No,SMS,837.52,Inorganic,Sprinkler,Yes,1041.25
Golden Growers Coalition,Nigeria,Wheat,18.87,82,Yes,None,470.6,Inorganic,Sprinkler,Yes,418.37
Sunrise Agricultural Association,Nigeria,Maize,95.2,35,Yes,Mobile Apps,413.1,Inorganic,None,No,1057.22
Harvest Cultivators Club,Nigeria,Rice,6.85,36,Yes,Mobile Apps,983.21,Inorganic,Drip,No,872.48
Sunrise Farmers Union,Ghana,Sorghum,98.39,74,Yes,None,934.12,None,Drip,No,815.12
Golden Farmers Union,Tanzania,Rice,85.92,40,Yes,Mobile Apps,974.79,None,None,Yes,409.78
River Agricultural Association,Nigeria,Maize,66.37,76,Yes,SMS,228.07,Organic,None,No,1024.69
River Agri Society,Tanzania,Maize,73.76,91,No,None,902.13,None,Sprinkler,Yes,558.45
Harvest Agri Society,Ghana,Maize,8.2,48,Yes,Mobile Apps,395.84,None,None,Yes,982.38
Golden Cultivators Club,Tanzania,Barley,5.11,14,No,None,111.39,None,None,No,412.69
Sunrise Agricultural Association,Tanzania,Sorghum,11.07,12,Yes,Mobile Apps,452.17,Organic,Sprinkler,Yes,1037.08
Green Cultivators Club,Nigeria,Sorghum,9.65,52,Yes,SMS,558.28,None,Sprinkler,No,418.43
Harvest Growers Coalition,Kenya,Sorghum,55.19,32,Yes,None,197.4,Inorganic,Sprinkler,No,588.71
